;;;;Jahres-;maximaler;Zahl der ;Zahl der 
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte
Station;Name/Messnetz;Emissinsquelltyp;Umgebungstyp;in µg/m³;in µg/m³;> 230 µg/m³;> 200 µg/m³
DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;14;72;0;0
DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;8;48;0;0
DEMV017;Göhlen;ländliches Gebiet;Hintergrund;9;51;0;0
DEMV018;Zarrentin;vorstädtisches Gebiet;Hintergrund;14;71;0;0
DEMV019;Güstrow;städtisches Gebiet;Hintergrund;11;66;0;0
DEMV020;Rostock Am Strande;städtisches Gebiet;Verkehr;50;207;0;1
DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;15;94;0;0
;Niedersachsen;;;;;;
DENI011;Braunschweig;vorstädtisches Gebiet;Hintergrund;14;98;0;0
DENI016;Oker;vorstädtisches Gebiet;Industrie;9;64;0;0
DENI019;Solling;ländlich abgelegen;Hintergrund;8;56;0;0
DENI020;Wolfsburg;vorstädtisches Gebiet;Industrie;17;104;0;0
DENI028;Duderstadt;vorstädtisches Gebiet;Hintergrund;11;87;0;0
DENI029;Ostfriesland;vorstädtisches Gebiet;Industrie;15;71;0;0
DENI031;Jadebusen;vorstädtisches Gebiet;Industrie;11;64;0;0
DENI038;Osnabrück;vorstädtisches Gebiet;Verkehr;19;100;0;0
DENI041;Weserbergland;vorstädtisches Gebiet;Hintergrund;14;62;0;0
DENI042;Göttingen;vorstädtisches Gebiet;Verkehr;17;76;0;0
DENI043;Emsland;vorstädtisches Gebiet;Industrie;16;87;0;0
DENI048;Hannover Verkehr;städtisches Gebiet;Verkehr;56;203;0;1
DENI051;Wurmberg;ländlich abgelegen;Hintergrund;7;61;0;0
DENI052;Allertal;ländlich regional;Verkehr;13;93;0;0
DENI053;Südoldenburg;ländlich regional;Hintergrund;13;63;0;0
DENI054;Hannover;städtisches Gebiet;Hintergrund;21;103;0;0
DENI058;Ostfries. Inseln;ländlich abgelegen;Hintergrund;9;100;0;0
DENI059;Elbmündung;ländlich regional;Hintergrund;12;92;0;0
DENI060;Wendland;vorstädtisches Gebiet;Hintergrund;10;106;0;0
DENI062;Lüneburger Heide;vorstädtisches Gebiet;Hintergrund;16;100;0;0
DENI063;Altes Land;vorstädtisches Gebiet;Hintergrund;13;99;0;0
DENI067;Osnabrück-Verkehr;städtisches Gebiet;Verkehr;57;255;2;4
DENI068;Göttingen-Verkehr;städtisches Gebiet;Verkehr;40;143;0;0
DENI072;Burgdorf-Verkehr;vorstädtisches Gebiet;Verkehr;51;181;0;0
DENI073;Celle-Verkehr;städtisches Gebiet;Verkehr;39;158;0;0
DENI074;Hameln-Verkehr;städtisches Gebiet;Verkehr;71;298;9;35
;Nordrhein-Westfalen;;;;;;
DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;22;93;0;0
DENW006;Lünen-Niederaden;vorstädtisches Gebiet;Hintergrund;27;112;0;0
