Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;Zahl* der Stundenwerte > 200 µg/m³
DEHE037;Wiesbaden-Ringkirche;städtisches Gebiet;Verkehr;59;1
DEHE022;Wiesbaden-Süd;städtisches Gebiet;Hintergrund;35;0
DEHE024;Witzenhausen/Wald;ländliches Gebiet;Hintergrund;8;0
;Mecklenburg-Vorpommern;;;;
DEMV017;Göhlen;ländliches Gebiet;Hintergrund;8;0
DEMV004;Gülzow;ländliches Gebiet;Hintergrund;9;0
DEMV019;Güstrow;städtisches Gebiet;Hintergrund;11;0
DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;8;0
DEMV003;Neubrandenburg;städtisches Gebiet;Verkehr;23;0
DEMV020;Rostock Am Strande;städtisches Gebiet;Verkehr;44;1
DEMV022;Rostock-Holbeinplatz;städtisches Gebiet;Verkehr;32;0
DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;14;0
DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;15;0
DEMV023;Schwerin-Obotritenring;städtisches Gebiet;Verkehr;25;0
;Niedersachsen;;;;
DENI052;Allertal;vorstädtisches Gebiet;Hintergrund;14;0
DENI063;Altes Land;ländliches Gebiet;Hintergrund;15;0
DENI071;Barbis-Verkehr;vorstädtisches Gebiet;Verkehr;45;1
DENI011;Braunschweig;vorstädtisches Gebiet;Hintergrund;16;0
DENI075;Braunschweig-Verkehr;städtisches Gebiet;Verkehr;51;1
DENI072;Burgdorf-Verkehr;vorstädtisches Gebiet;Verkehr;35;1
DENI028;Eichsfeld;vorstädtisches Gebiet;Hintergrund;12;0
DENI059;Elbmündung;ländliches Gebiet;Hintergrund;12;0
DENI043;Emsland;vorstädtisches Gebiet;Hintergrund;16;0
DENI042;Göttingen;vorstädtisches Gebiet;Hintergrund;16;0
DENI068;Göttingen-Verkehr;städtisches Gebiet;Verkehr;41;0
DENI054;Hannover;städtisches Gebiet;Hintergrund;21;0
DENI048;Hannover Verkehr;städtisches Gebiet;Verkehr;51;0
DENI031;Jadebusen;ländliches Gebiet;Hintergrund;12;0
DENI062;Lüneburger Heide;vorstädtisches Gebiet;Hintergrund;16;0
DENI016;Oker/Harlingerode;vorstädtisches Gebiet;Hintergrund;13;0
DENI076;Oldenburg Verkehr;städtisches Gebiet;Verkehr;41;0
DENI038;Osnabrück;städtisches Gebiet;Hintergrund;20;0
DENI067;Osnabrück-Verkehr;städtisches Gebiet;Verkehr;50;1
DENI058;Ostfries. Inseln;ländliches Gebiet;Hintergrund;10;0
DENI029;Ostfriesland;vorstädtisches Gebiet;Hintergrund;16;0
DENI070;Salzgitter/Drütte;ländliches Gebiet;Industrie;17;0
DENI077;Solling-Süd;ländliches Gebiet;Hintergrund;9;0
DENI053;Südoldenburg;vorstädtisches Gebiet;Industrie;13;0
DENI060;Wendland;ländliches Gebiet;Hintergrund;12;0
DENI041;Weserbergland;vorstädtisches Gebiet;Hintergrund;14;0
DENI020;Wolfsburg;vorstädtisches Gebiet;Hintergrund;17;0
DENI051;Wurmberg;ländliches Gebiet;Hintergrund;7;0
;Nordrhein-Westfalen;;;;
DENW178;Aachen Adalbertsteinweg;städtisches Gebiet;Verkehr;52;---
DENW207;Aachen Wilhelmstraße;städtisches Gebiet;Verkehr;56;2
DENW094;Aachen-Burtscheid;städtisches Gebiet;Hintergrund;18;0
DENW228;Bielefeld Stapenhorststraße 42;städtisches Gebiet;Verkehr;47;---
DENW186;Bielefeld Stapenhorststraße 59;städtisches Gebiet;Verkehr;39;0
DENW067;Bielefeld-Ost;städtisches Gebiet;Hintergrund;27;0
DENW265;Bönen Böingholzstraße;ländlich regional;Verkehr;38;---
DENW230;Bönen Bönener Straße;städtisches Gebiet;Verkehr;40;---
DENW176;Bonn Bornheimer Straße 35a;städtisches Gebiet;Verkehr;48;---
DENW175;Bonn Reuterstraße 24;städtisches Gebiet;Verkehr;62;---
DENW062;Bonn-Auerberg;vorstädtisches Gebiet;Hintergrund;30;0
DENW081;Borken-Gemen;ländlich stadtnah;Hintergrund;21;0
DENW234;Bottrop Peterstraße 10;städtisches Gebiet;Verkehr;40;---
DENW021;Bottrop-Welheim;städtisches Gebiet;Industrie;29;0
DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;22;0
DENW275;Dinslaken Hünxer Straße;städtisches Gebiet;Verkehr;49;---
DENW224;Dinslaken Wilhelm-Lantermann-Straße;städtisches Gebiet;Verkehr;38;0
DENW185;Dortmund B1 Rheinlanddamm;städtisches Gebiet;Verkehr;58;---
DENW184;Dortmund B1 Westfalendamm;städtisches Gebiet;Verkehr;49;---
DENW136;Dortmund Brackeler Straße;städtisches Gebiet;Verkehr;62;3
DENW101;Dortmund Steinstraße;städtisches Gebiet;Verkehr;48;0
DENW008;Dortmund-Eving;städtisches Gebiet;Hintergrund;33;0
DENW253;Duisburg Fr.-E.-Straße 30;städtisches Gebiet;Verkehr;45;---
DENW112;Duisburg Kardinal-Galen-Straße;städtisches Gebiet;Verkehr;43;0
DENW102;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;36;0
DENW034;Duisburg-Walsum;städtisches Gebiet;Industrie;29;0
DENW266;Düren Euskirchener Straße;städtisches Gebiet;Verkehr;75;---
DENW258;Düren Schoeller Straße;städtisches Gebiet;Verkehr;56;---
DENW082;Düsseldorf Corneliusstraße;städtisches Gebiet;Verkehr;67;13
DENW216;Düsseldorf-Bilk;städtisches Gebiet;Verkehr;66;---
DENW071;Düsseldorf-Lörick;städtisches Gebiet;Hintergrund;30;0
DENW283;Emmerich-Elten Schmidtstraße 8;städtisches Gebiet;Verkehr;34;0
DENW210;Erwitte Soester Straße 9A;städtisches Gebiet;Verkehr;47;---
DENW287;Eschweiler Indestraße;städtisches Gebiet;Verkehr;50;---
DENW161;Essen Alfredstraße 9/11;städtisches Gebiet;Verkehr;58;---
DENW162;Essen Brückstraße;städtisches Gebiet;Verkehr;48;---
DENW134;Essen Gladbecker Straße;städtisches Gebiet;Verkehr;54;0
DENW168;Essen Gladbecker Straße 245;städtisches Gebiet;Verkehr;57;---
DENW276;Essen Hafenstraße;städtisches Gebiet;Verkehr;42;---
DENW135;Essen Hombrucher Straße;städtisches Gebiet;Verkehr;55;1
DENW171;Essen Hombrucher Straße 21/23;städtisches Gebiet;Verkehr;60;---
DENW169;Essen In der Baumschule;städtisches Gebiet;Hintergrund;33;---
DENW277;Essen Krayer Straße 213;städtisches Gebiet;Verkehr;52;---
DENW215;Essen-Frohnhausen;städtisches Gebiet;Verkehr;58;---
DENW043;Essen-Ost Steeler Straße;städtisches Gebiet;Verkehr;43;0
DENW247;Essen-Schuir (LANUV);vorstädtisches Gebiet;Hintergrund;38;0
DENW024;Essen-Vogelheim;städtisches Gebiet;Hintergrund;33;0
DENW235;Gelsenkirchen Kurt-Schumacher-Straße 114;städtisches Gebiet;Verkehr;52;---
DENW022;Gelsenkirchen-Bismarck;vorstädtisches Gebiet;Hintergrund;30;0
DENW280;Gevelsberg Hagener Straße 12;städtisches Gebiet;Verkehr;42;---
DENW278;Gladbeck Grabenstraße 46;städtisches Gebiet;Verkehr;48;---
DENW180;Grevenbroich-Gustorf;vorstädtisches Gebiet;Industrie;24;0
DENW255;Hagen Enneper Straße;städtisches Gebiet;Verkehr;45;---
DENW133;Hagen Graf-von-Galen-Ring;städtisches Gebiet;Verkehr;63;3
DENW281;Hagen Märkischer Ring 85;städtisches Gebiet;Verkehr;66;---
DENW236;Hagen Märkischer Ring 91;städtisches Gebiet;Verkehr;60;---
DENW137;Hagen Wehringhauser Straße;städtisches Gebiet;Verkehr;56;---
DENW222;Halle (Westfalen) Lange Straße;städtisches Gebiet;Verkehr;58;---
DENW195;Hamm Münsterstraße;städtisches Gebiet;Verkehr;46;---
