;;;;Jahres-;maximaler;Zahl der ;Zahl der ;;
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte;;
Station;Name/Messnetz;Umgebungstyp;Emissinsquelltyp;in µg/m³;in µg/m³;> 290 µg/m³;> 200 µg/m³;;
'DEHE052';Kleiner Feldberg;ländliches Gebiet;Hintergrund;10;105;0;0;;
;Hammburg;;;;;;;;
'DEHH008';HH Sternschanze;städtisches Gebiet;Hintergrund;31;115;0;0;;
'DEHH015';HH Veddel;städtisches Gebiet;Hintergrund;38;125;0;0;;
'DEHH016';HH Billbrook;städtisches Gebiet;Industrie;32;107;0;0;;
'DEHH021';HH Tatenberg;vorstädtisches Gebiet;Hintergrund;20;86;0;0;;
'DEHH026';HH Stresemannstraße (Straße);städtisches Gebiet;Verkehr;51;167;0;0;;
'DEHH033';HH Flughafen Nord;städtisches Gebiet;Hintergrund;25;105;0;0;;
'DEHH047';HH Bramfeld;vorstädtisches Gebiet;Hintergrund;19;81;0;0;;
'DEHH048';HH Max-Brauer-Allee (Straße);städtisches Gebiet;Verkehr;51;136;0;0;;
'DEHH049';HH Blankenese-Baursberg;vorstädtisches Gebiet;Hintergrund;20;87;0;0;;
'DEHH050';HH Neugraben;vorstädtisches Gebiet;Hintergrund;17;100;0;0;;
'DEHH054';HH Bergedorf;städtisches Gebiet;Hintergrund;23;106;0;0;;
'DEHH055';HH Harburg;städtisches Gebiet;Hintergrund;21;86;0;0;;
'DEHH059';HH Wilhelmsburg;städtisches Gebiet;Hintergrund;27;108;0;0;;
'DEHH060';HH Lenhartzstraße (Straße);städtisches Gebiet;Verkehr;39;119;0;0;;
'DEHH061';HH Wandsbeker Chaussee (Straße);städtisches Gebiet;Verkehr;44;154;0;0;;
;Mecklenburg-Vorpommern;;;;;;;;
'DEMV002';Rostock;städtisches Gebiet;Verkehr;23;85;0;0;;
'DEMV003';Neubrandenburg;städtisches Gebiet;Verkehr;30;105;0;0;;
'DEMV004';Gülzow;ländliches Gebiet;Hintergrund;9;50;0;0;;
'DEMV005';Schwerin ;städtisches Gebiet;Verkehr;26;110;0;0;;
'DEMV006';Stralsund;städtisches Gebiet;Verkehr;24;107;0;0;;
'DEMV007';Rostock-Stuthof ;vorstädtisches Gebiet;Hintergrund;14;76;0;0;;
