Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
DEBB021;Potsdam-Zentrum;städtisches Gebiet;Hintergrund;15;0;Potsdam;Zentrum;;;;
DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;10;0;Schwedt;(Oder);;;;
DEBB066;Spreewald;ländlich regional;Hintergrund;7;0;Spreewald;;;;;
DEBB083;Spremberg;vorstädtisches Gebiet;Hintergrund;9;0;Spremberg;;;;;
DEBB063;Wittenberge;vorstädtisches Gebiet;Hintergrund;9;0;Wittenberge;;;;;
;Bremen;;;;;Bremen;;;;;
DEHB006;Bremen-Dobben;städtisches Gebiet;Verkehr;34;0;Bremen;Dobben;;;;
DEHB013;Bremen-Hasenbüren;ländlich regional;Industrie;14;0;Bremen;Hasenbüren;;;;
DEHB001;Bremen-Mitte;städtisches Gebiet;Hintergrund;22;0;Bremen;Mitte;;;;
DEHB004;Bremen-Nord;städtisches Gebiet;Hintergrund;17;0;Bremen;Nord;;;;
DEHB012;Bremen-Oslebshausen;städtisches Gebiet;Hintergrund;20;0;Bremen;Oslebshausen;;;;
DEHB002;Bremen-Ost;städtisches Gebiet;Hintergrund;20;0;Bremen;Ost;;;;
DEHB011;Bremerhaven-Cherbourger Straße;städtisches Gebiet;Verkehr;33;0;Bremerhaven;Cherbourger;Straße;;;
DEHB005;Bremerhaven-Hansastraße;städtisches Gebiet;Hintergrund;20;0;Bremerhaven;Hansastraße;;;;
;Hamburg;;;;;Hamburg;;;;;
DEHH079;Hamburg Altona Elbhang;städtisches Gebiet;Hintergrund;28;0;Hamburg;Altona;Elbhang;;;
DEHH016;Hamburg Billbrook;städtisches Gebiet;Industrie;22;0;Hamburg;Billbrook;;;;
DEHH047;Hamburg Bramfeld;vorstädtisches Gebiet;Hintergrund;15;0;Hamburg;Bramfeld;;;;
DEHH073;Hamburg Finkenwerder Airbus;ländlich stadtnah;Industrie;16;0;Hamburg;Finkenwerder;Airbus;;;
DEHH072;Hamburg Finkenwerder West;städtisches Gebiet;Industrie;17;0;Hamburg;Finkenwerder;West;;;
DEHH033;Hamburg Flughafen Nord;städtisches Gebiet;Hintergrund;21;0;Hamburg;Flughafen;Nord;;;
DEHH068;Hamburg Habichtstraße;städtisches Gebiet;Verkehr;48;0;Hamburg;Habichtstraße;;;;
DEHH081;Hamburg Hafen;städtisches Gebiet;Hintergrund;31;0;Hamburg;Hafen;;;;
DEHH064;Hamburg Kieler Straße;städtisches Gebiet;Verkehr;43;0;Hamburg;Kieler;Straße;;;
DEHH070;Hamburg Max-Brauer-Allee II (Straße);städtisches Gebiet;Verkehr;41;0;Hamburg;Max;Brauer;Allee;II;(Straße)
DEHH050;Hamburg Neugraben;vorstädtisches Gebiet;Hintergrund;13;0;Hamburg;Neugraben;;;;
DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;22;0;Hamburg;Sternschanze;;;;
DEHH026;Hamburg Stresemannstraße;städtisches Gebiet;Verkehr;40;0;Hamburg;Stresemannstraße;;;;
DEHH015;Hamburg Veddel;städtisches Gebiet;Industrie;30;0;Hamburg;Veddel;;;;
DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;24;0;Hamburg;Wilhelmsburg;;;;
;Hessen;;;;;Hessen;;;;;
DEHE143;Alsfeld Ludwigsplatz 1;städtisches Gebiet;Verkehr;42;--- 1);Alsfeld;Ludwigsplatz;1;;;
DEHE046;Bad Arolsen;ländliches Gebiet;Hintergrund;8;0;Bad;Arolsen;;;;
