Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
03102 SALZGITTER,STADT ;54.951;36.780;17.039;;;;;;;;;;;;;;;;;;
03103 WOLFSBURG,STADT ;137.862;86.245;48.934;;;;;;;;;;;;;;;;;;
03151 GIFHORN ;105.549;65.833;37.908;;;;;;;;;;;;;;;;;;
03153 GOSLAR ;79568;53134;25120;;;;;;;;;;;;;;;;;;
03154 HELMSTEDT ;54.952;35.591;18.401;;;;;;;;;;;;;;;;;;
03155 NORTHEIM ;86.654;58.462;26.903;;;;;;;;;;;;;;;;;;
03157 PEINE ;82.594;55.926;24.972;;;;;;;;;;;;;;;;;;
03158 WOLFENBUETTEL ;73.771;49.895;22.510;;;;;;;;;;;;;;;;;;
03159 GOETTINGEN ;181.829;121.965;56.679;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.002.471;652.150;331.550;;;;;;;;;;;;;;;;;;
RB HANNOVER ;;;;;;;;;;;;;;;;;;;;;
03241 HANNOVER ;578.638;391.434;175.161;;;;;;;;;;;;;;;;;;
03251 DIEPHOLZ ;138.116;89.979;45.477;;;;;;;;;;;;;;;;;;
03252 HAMELN-PYRMONT ;90.847;63.214;25.969;;;;;;;;;;;;;;;;;;
03254 HILDESHEIM ;159.045;110.028;46.302;;;;;;;;;;;;;;;;;;
03255 HOLZMINDEN ;44.428;30.657;13.014;;;;;;;;;;;;;;;;;;
03256 NIENBURG(WESER) ;76.103;48.566;25.677;;;;;;;;;;;;;;;;;;
03257 SCHAUMBURG ;99.558;68.606;28.931;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.186.735;802.484;360.531;;;;;;;;;;;;;;;;;;
RB LUENEBURG ;;;;;;;;;;;;;;;;;;;;;
03351 CELLE ;107.931;69.656;36.470;;;;;;;;;;;;;;;;;;
03352 CUXHAVEN ;123.874;78.598;42.547;;;;;;;;;;;;;;;;;;
03353 HARBURG ;163.252;103.791;56.088;;;;;;;;;;;;;;;;;;
03354 LUECHOW-DANNENBERG ;30.329;18.226;11.220;;;;;;;;;;;;;;;;;;
03355 LUENEBURG ;103.117;65.598;35.704;;;;;;;;;;;;;;;;;;
03356 OSTERHOLZ ;71.278;47.447;22.361;;;;;;;;;;;;;;;;;;
03357 ROTENBURG(WUEMME) ;110.373;63.690;44.646;;;;;;;;;;;;;;;;;;
03358 HEIDEKREIS ;86.598;53.526;31.511;;;;;;;;;;;;;;;;;;
03359 STADE ;122.872;79.381;41.379;;;;;;;;;;;;;;;;;;
03360 UELZEN ;55.926;36.615;18.454;;;;;;;;;;;;;;;;;;
03361 VERDEN ;85.458;55.442;28.567;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.061.008;671.970;368.947;;;;;;;;;;;;;;;;;;
RB WESER-EMS ;;;;;;;;;;;;;;;;;;;;;
03401 DELMENHORST,STADT ;41.886;29.274;11.633;;;;;;;;;;;;;;;;;;
03402 EMDEN,STADT ;24.360;16.483;7.401;;;;;;;;;;;;;;;;;;
03403 OLDENBURG(OLDENB),STADT ;87.801;54.814;30.400;;;;;;;;;;;;;;;;;;
03404 OSNABRUECK,STADT ;83.704;54.297;27.275;;;;;;;;;;;;;;;;;;
03405 WILHELMSHAVEN,STADT ;39.896;28.341;10.689;;;;;;;;;;;;;;;;;;
03451 AMMERLAND ;78.581;48.457;28.488;;;;;;;;;;;;;;;;;;
03452 AURICH ;114.995;73.119;38.790;;;;;;;;;;;;;;;;;;
03453 CLOPPENBURG ;98.322;49.920;46.559;;;;;;;;;;;;;;;;;;
03454 EMSLAND ;196.771;104.581;88.082;;;;;;;;;;;;;;;;;;
03455 FRIESLAND ;64.705;41.365;21.653;;;;;;;;;;;;;;;;;;
03456 GRAFSCHAFT BENTHEIM ;82.599;41.846;38.018;;;;;;;;;;;;;;;;;;
03457 LEER ;101.191;61.966;36.593;;;;;;;;;;;;;;;;;;
03458 OLDENBURG(OLDENBURG) ;82.110;50.270;29.901;;;;;;;;;;;;;;;;;;
03459 OSNABRUECK ;226.466;144.097;78.202;;;;;;;;;;;;;;;;;;
03460 VECHTA ;85.715;46.877;37.361;;;;;;;;;;;;;;;;;;
03461 WESERMARSCH ;52.807;32.994;18.510;;;;;;;;;;;;;;;;;;
03462 WITTMUND ;35.470;22.373;12.191;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN ;1.497.379;901.074;561.746;;;;;;;;;;;;;;;;;;
LAND INSGESAMT ;4.747.593;3.027.678;1.622.774;;;;;;;;;;;;;;;;;;
NORDRHEIN-WESTFALEN ;;;;;;;;;;;;;;;;;;;;;
RB DUESSELDORF ;;;;;;;;;;;;;;;;;;;;;
05111 DUESSELDORF, STADT ;310.614;189.583;113.441;;;;;;;;;;;;;;;;;;
05112 DUISBURG,STADT ;229.610;164.453;58.316;;;;;;;;;;;;;;;;;;
05113 ESSEN,STADT ;287.883;206.637;73.859;;;;;;;;;;;;;;;;;;
05114 KREFELD,STADT ;118.372;82.017;33.016;;;;;;;;;;;;;;;;;;
05116 MOENCHENGLADBACH,STADT ;137.330;95.203;38.244;;;;;;;;;;;;;;;;;;
