Stadt;Insgesamt;Benzin;Diesel;Gas (einschl. bivalent);Hybrid;Elektro;Sonstige;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6;Sonstige2;Euro 1 2;Euro 2 2;Euro 3 2;Euro 4 2;Euro 5 2;Euro 6 2;Sonstige3
SCHLESWIG-HOLSTEIN;;;;;;;;;;;;;;;;;;;;;
RB ZUSAMMEN;1 855 550;1 370 582;459 399;23 915;3 101;1 654;118 174;422 109;330 833;829 463;122 018;240;10 942;7 093;61 113;135 865;199 932;48 641;240;3 982;
LAND INSGESAMT;9 029 180;6 491 351;2 371 973;153 558;14 612;12 298;589 071;2 059 978;1 642 864;3 934 533;613 363;1 570;55 472;38 634;319 837;697 395;1 000 533;278 450;1 570;21 008;
HESSEN;;;HESSEN;;;;;;;;;;HESSEN;;;;;;;;
RB DARMSTADT;;;;;;;;;;;;;;;;;;;;;
06411  DARMSTADT,STADT;66 794;46 293;19 802;573;178;126;4 428;14 896;11 850;28 341;5 623;27;511;335;2 279;5 010;8 710;3 119;27;206;
06412  FRANKFURT AM MAIN,STADT;303 656;189 637;111 083;2 469;1 046;467;18 245;55 889;47 443;132 408;42 075;170;1 281;693;7 077;21 496;52 073;28 689;170;365;
06413  OFFENBACH AM MAIN,STADT;48 795;35 371;12 790;454;176;180;3 865;12 029;8 529;19 483;3 820;16;327;195;1 532;3 566;5 324;1 981;16;115;
06414  WIESBADEN,STADT;133 306;93 481;38 739;925;309;161;8 028;28 552;23 879;57 089;11 559;56;672;483;4 073;10 174;17 192;6 277;56;223;
06431  BERGSTRASSE;154 029;113 339;39 257;1 284;177;149;10 907;36 444;27 832;65 331;10 345;29;974;777;5 641;11 776;16 228;4 109;29;353;
06432  DARMSTADT-DIEBURG;164 272;120 255;42 233;1 550;224;234;10 959;37 339;30 733;70 515;10 979;22;1 223;731;5 813;12 682;17 449;4 790;22;427;
06433  GROSS-GERAU;144 037;106 254;36 318;1 308;296;157;8 586;30 185;24 512;60 477;17 683;14;839;482;4 181;9 929;14 960;6 224;14;340;
06434  HOCHTAUNUSKREIS;151 940;104 424;46 278;1 025;149;213;7 729;25 353;24 446;64 433;26 437;54;802;424;3 654;10 851;17 786;13 060;54;251;
06435  MAIN-KINZIG-KREIS;226 071;164 881;58 876;2 083;343;231;14 628;51 584;42 122;99 293;13 982;36;1 464;862;7 551;17 984;25 632;6 053;36;478;
06436  MAIN-TAUNUS-KREIS;166 868;112 456;53 331;883;152;198;7 510;26 282;25 807;72 961;30 514;54;796;348;3 252;11 575;22 180;15 513;54;242;
06437  ODENWALDKREIS;56 089;40 677;14 633;726;16;53;3 629;13 666;10 745;23 836;3 090;3;333;258;2 315;4 645;5 910;1 269;3;111;
06438  OFFENBACH;190 823;140 347;48 552;1 643;404;281;12 454;40 808;33 726;84 219;13 951;58;1 040;595;5 201;13 128;21 908;6 968;58;307;
06439  RHEINGAU-TAUNUS-KREIS;109 907;78 720;30 177;903;109;107;6 055;23 170;20 972;49 710;6 970;12;843;415;3 848;9 025;13 311;3 137;12;287;
06440  WETTERAUKREIS;167 733;121 541;44 441;1 590;151;161;10 742;38 048;31 235;73 777;10 320;27;1 011;683;5 501;13 671;19 311;4 580;27;371;
RB ZUSAMMEN;2 084 320;1 467 676;596 510;17 416;3 730;2 718;127 765;434 245;363 831;901 873;207 348;578;12 116;7 281;61 918;155 512;257 974;105 769;578;4 076;
RB GIESSEN;;;;;;;;;;;;;;;;;;;;;
06531  GIESSEN;134 582;96 158;36 663;1 605;278;156;8 344;32 586;25 413;57 056;8 692;19;649;539;4 921;11 209;15 620;3 825;19;244;
06532  LAHN-DILL-KREIS;146 085;104 856;39 524;1 619;49;86;8 528;33 957;27 507;63 670;9 101;18;910;626;5 369;12 469;16 565;3 938;18;290;
06533  LIMBURG-WEILBURG;99 755;69 294;28 938;1 292;64;231;5 639;22 848;19 207;44 102;6 084;25;634;376;3 736;9 043;12 428;2 998;25;229;
06534  MARBURG-BIEDENKOPF;127 551;92 765;33 224;1 459;191;103;7 405;30 364;23 676;56 078;7 877;15;854;558;4 714;10 531;13 758;3 196;15;309;
06535  VOGELSBERGKREIS;65 838;47 038;17 881;876;111;43;3 964;16 202;12 590;28 346;3 486;6;407;294;2 735;5 811;7 276;1 493;6;153;
